Part,Value,Package,Description,Qty,Place (YES/NO),Distributor,Order Number,Comment
U1,,LQFP-64 ,STM32F4 MCU,1,YES,MOUSER,511-STM32F405RGT6,
U2,,SOT-223-3,VREG,1,YES,MOUSER,579-TC2117-3.3VDBTR,
U3,,HTSSOP-56-PP,MOSFET Driver,1,YES,MOUSER,595-DRV8302DCA,
U401,,SOIC-8,CAN Transceiver,1,YES,MOUSER,595-SN65HVD232DR,
R1,,SM0603,NTC resistor (temp sensor),1,YES,MOUSER,81-NCP18XH103F03RB ,
L1,,inductor_smd_8x5mm,Power Inductor,1,YES,MOUSER,652-SDR0805-220ML,
X1,,USB-UX60R-MB-5ST,Mini-USB,1,YES,MOUSER,798-UX60R-MB-5ST,
X2,8MHz,Crystal_5x3mm,"Crystal 8MHz, 10PPM",1,YES,MOUSER,815-ABM3B-8.0-10-1UT,
Q1-Q6,60V 240A,D2PAK-7,MOSFET 60V 240A,6,YES,MOUSER,942-IRFS7530TRL7PP,
"R53,R54",1mOhm,WSLP2726,Shunt 1mOhm,2,YES,MOUSER,71-WSLP27261L000FEA,
D5,5V,DO-214AC,TVS diode 5V,1,YES,MOUSER,576-SMAJ5.0A,
D4,60V 2A,DO-214AA(SMB),Shottky 60V 2A,1,YES,MOUSER,771-PMEG6020ER-115,Voltage and current important
"C25,C33","100uF, 6.3V",c_tant_B,"CAP 100u, 6.3V",2,YES,MOUSER,581-TPSB107K006R0400,Voltage important
"C1,C8,C9,C39,C40,C43,C44,C49",10uF 50V,SMD1206,"CAP 10u, 50V, 1206",8,YES,MOUSER,963-UMK316BBJ106ML-T,Voltage important
"C37,C51","15uF, 100V",SMD-2220,"CAP 15u, 100V, 2220",2,YES,MOUSER,810-CGA9P3X7S2A156M,Voltage important
"C2,C3,C27,C32","100nF, 50V",SMD-0603,"CAP 100n, 50V, 0603",4,YES,MOUSER,581-06035C104JAT2A,Voltage important
"C28,C29,C30","220nF,25V",SMD-0603,"CAP 220n, 25V, 0603",3,YES,MOUSER,963-TMK107B7224KA-T ,Voltage important
"C24,C10,C11,C12,C13,C14,C16,C17,C18,C20,C23,C26,C31,C35,C41,C52,C401","2.2uF, 16V",SMD-0603,"CAP 2.2u, 16V, 0603",17,YES,MOUSER,810-C1608X5R1C225M,Voltage important
P3,,MICRO_JST_7,Micro-JST 7PIN 2mm,1,YES,FARNELL,9491864,Can be found on ebay
"P1,P2",,MICRO_JST_6,Micro-JST 6PIN 2mm,2,YES,FARNELL,9492453,Can be found on ebay
P101,,MICRO_JST_4,Micro-JST 4PIN 2mm,1,YES,FARNELL,9492437,Can be found on ebay
C4-C7,"4.7nF, 50V",SMD-0603,"CAP 4.7n, 50V, 0603",4,YES,MOUSER,81-GRM39X472J50D,
"C34, C36","2.2nF, 50V",SMD-0603,"CAP 2.2n, 50V, 0603",2,YES,MOUSER,81-GRM39X222J50D,
"C15,C38","15pF, 100V",SMD-0603,"CAP 15p, 100V, 0603",2,YES,MOUSER,81-GRM1885C2A150JA01,
C19,"120pF, 50V",SMD-0603,"CAP 120p, 50V, 0603",1,YES,MOUSER,81-GRM39C121J50,
C21,"6.8nF, 50V",SMD-0603,"CAP 6.8n, 50V, 0603",1,YES,MOUSER,81-GRM18R71H682KA01J,
C22,"22nF, 50V",SMD-0603,"CAP 22n, 50V, 0603",1,YES,MOUSER,81-GRM18F51H223ZA01D,
D1,,SMD-0603,"LED Green, 0603",1,YES,MOUSER,859-LTST-C191KGKT,
D2,,SMD-0603,"LED Red, 0603",1,YES,MOUSER,859-LTST-C191KRKT,
D3,,SMD-0603,"LED Blue, 0603",1,YES,MOUSER,720-LBQ39GN1P1351,
"R28,R29,R34,R35,R42,R43",4.7ohm,SMD-0603,"R 4.7ohm, 0603",6,YES,MOUSER,660-RK73H1JTTD4R70F,
"R37,R38,R48-R51,R401",100ohm,SMD-0603,"R 100ohm, 0603",7,YES,MOUSER,660-RK73H1JTTD1000F,
"R4,R5,R11,R12,R13,R22,R24,R27,R33",2.2kOhm,SMD-0603,"R 2.2k, 0603",9,YES,MOUSER,660-RK73H1JTTD2201F,
R18,3.3kOhm,SMD-0603,"R 3.3k, 0603",1,YES,MOUSER,660-RK73H1JTTD3301F,
"R2,R7,R8,R9,R10,R20,R402",10kOhm,SMD-0603,"R 10k, 0603",7,YES,MOUSER,660-RK73H1JTTD1002F,
R19,15kOhm,SMD-0603,"R 15k, 0603",1,YES,MOUSER,660-RK73H1JTTD1502F,
R17,18kOhm,SMD-0603,"R 18k, 0603",1,YES,MOUSER,660-RK73H1JTTD1802F,
"R3,R23,R26,R30,R32,R36,R46",39kOhm,SMD-0603,"R 39k, 0603",7,YES,MOUSER,667-ERJ-3EKF3902V ,
R21,220kOhm,SMD-0603,"R 220k, 0603",1,YES,MOUSER,660-RK73H1JTTD2203F,
R25,1MOhm ,SMD-0603,"R 1M, 0603",1,YES,MOUSER,660-RK73H1JTTD1004F,
"R103, R104",22ohm,SMD-0603,"R 22R, 0603",2,YES,MOUSER,660-RK73H1JTTD22R0F ,
R6,,,,0,NO,,,Do not mount
"1PIN,1PIN",,,,0,NO,,,Do not mount
K1,,,,0,NO,,,Do not mount
"P5,P5,P6,P7,P9",,,,0,NO,,,Do not mount
G***,,,,0,NO,,,Do not mount